ax (m/s^2),ay (m/s^2),az (m/s^2)
-0.9648,-0.3271,-0.4789
-0.5652,-0.042,0.094
-0.2929,0.0791,0.7936
-0.1457,-0.011,1.4906
-0.0921,-0.1675,2.001
-0.2002,-0.302,2.2363
-0.3155,-0.3613,2.1252
-0.4347,-0.3253,1.7194
-0.5601,-0.1928,1.1561
-0.6499,-0.0222,0.6471
-0.7031,0.0721,0.2431
-0.8247,0.0886,-0.0142
-0.981,-0.0347,-0.1586
-1.169,-0.2739,-0.2831
-1.3604,-0.5333,-0.3418
-1.508,-0.8728,-0.3609
-1.6777,-1.1558,-0.3734
-1.8639,-1.3586,-0.4176
-2.07,-1.4306,-0.5013
-2.1606,-1.4218,-0.6492
-2.2371,-1.3158,-0.7292
-2.1872,-1.1582,-0.7234
-1.9954,-0.9926,-0.6875
-1.7012,-0.8195,-0.652
-1.3729,-0.6605,-0.6592
-1.0347,-0.6453,-0.7086
-0.7985,-0.6161,-0.7877
-0.5632,-0.6924,-0.8629
-0.4699,-0.8096,-0.9494
-0.4445,-0.9482,-1.0772
-0.4779,-1.0837,-1.1635
-0.5374,-1.2258,-1.2255
-0.5926,-1.3722,-1.2451
-0.6036,-1.5136,-1.279
-0.6132,-1.6094,-1.3814
-0.5804,-1.6284,-1.5049
-0.5112,-1.6159,-1.6315
-0.4814,-1.4446,-1.7314
-0.4898,-1.2027,-1.8066
-0.502,-0.8014,-1.6779
-0.474,-0.3393,-1.3993
-0.4631,0.1662,-0.9712
-0.46,0.6662,-0.4691
-0.394,1.1094,-0.0286
-0.3828,1.4777,0.2527
-0.391,1.7465,0.3294
-0.5736,1.9245,0.1357
-0.8787,2.1126,-0.263
-1.1966,2.3066,-0.8205
-1.3983,2.4337,-1.5737
-1.4571,2.5149,-2.36
-1.4239,2.5587,-3.0453
-1.3532,2.6072,-3.544
-1.2784,2.6306,-3.7485
-1.1955,2.6583,-3.6559
-1.226,2.6335,-3.2352
-1.4024,2.5392,-2.4224
-1.7187,2.6143,-1.2465
-2.1075,2.7736,0.2357
-2.3684,2.7458,1.813
-2.3564,2.1758,3.2287
-2.1194,1.1812,4.2929
-1.8346,0.1034,4.9899
-1.4326,-0.8737,5.1467
-1.0448,-1.5961,4.6925
-0.6358,-2.0645,3.7708
-0.1866,-2.276,2.5311
0.3553,-2.2851,1.1283
0.8069,-2.1637,-0.0858
1.04,-1.9536,-0.9214
1.0608,-1.6591,-1.2543
0.9047,-1.2472,-1.2587
0.6027,-0.7978,-1.0658
0.1785,-0.3454,-0.6664
-0.2071,-0.0613,-0.1209
-0.6164,0.0127,0.4523
-1.1895,-0.0929,0.9777
-1.7815,-0.1828,1.5074
-2.1409,-0.2532,1.9619
-2.1572,-0.338,2.1501
-1.7609,-0.471,2.1009
-1.1425,-0.6082,1.8045
-0.4027,-0.7486,1.328
0.2948,-0.8285,0.7929
0.8073,-0.8398,0.3173
1.2294,-0.8275,-0.1017
1.5989,-0.8443,-0.3736
1.7969,-0.9261,-0.5154
1.8147,-1.0372,-0.5193
1.7867,-1.1518,-0.3644
1.718,-1.2057,-0.1661
1.5744,-1.1611,0.0084
1.4198,-1.0544,0.1655
1.2267,-0.9338,0.2859
1.0279,-0.8476,0.383
0.8254,-0.765,0.3889
0.646,-0.7533,0.325
0.4754,-0.7833,0.1186
0.3451,-0.8452,-0.1837
0.205,-0.9146,-0.5457
0.058,-0.9862,-0.9067
-0.1009,-1.0595,-1.2134
-0.2935,-1.1584,-1.3681
-0.4065,-1.2779,-1.4324
-0.4748,-1.3896,-1.4122
-0.4423,-1.4819,-1.3706
-0.3243,-1.5334,-1.323
-0.0843,-1.5327,-1.3404
0.1957,-1.4511,-1.4368
0.4643,-1.2839,-1.565
0.7013,-1.0668,-1.7041
0.8783,-0.79,-1.7838
1.0361,-0.5341,-1.8276
1.0641,-0.2796,-1.8081
1.0113,0.0023,-1.6676
0.9032,0.2443,-1.407
0.8491,0.4625,-1.0624
0.7777,0.7257,-0.6963
0.7645,1.0144,-0.3958
0.8567,1.254,-0.2672
1.0983,1.4343,-0.2469
1.3689,1.5334,-0.3869
1.599,1.5968,-0.671
1.6002,1.759,-1.0983
1.5106,2.018,-1.4856
1.3803,2.301,-1.8847
1.1443,2.6749,-2.2959
0.6826,3.1825,-2.404
0.1375,3.6498,-1.9462
-0.1534,3.7964,-1.0301
-0.1403,3.6186,-0.0124
-0.0072,3.2099,1.0688
0.3085,2.4829,2.2638
0.8641,1.4065,3.2247
1.3216,0.1537,3.5771
1.3538,-0.9458,3.4178
0.9761,-1.7169,3.0773
0.4225,-2.2039,2.6288
-0.1601,-2.4236,1.9151
-0.8088,-2.3135,1.0204
-1.3322,-1.9594,0.072
-1.5751,-1.5777,-0.6786
-1.5021,-1.1888,-1.0952
-1.1611,-0.807,-1.1321
-0.6235,-0.4517,-0.931
-0.0905,-0.1506,-0.5215
0.3535,0.0396,0.0209
0.6252,0.0783,0.6945
0.6894,0.014,1.3679
0.6301,-0.0517,1.9294
0.4157,-0.1364,2.2849
0.1378,-0.2039,2.3162
-0.2598,-0.1955,2.0326
-0.6085,-0.1747,1.5814
-0.807,-0.1304,1.0859
-0.9139,-0.1502,0.6264
-0.9495,-0.2163,0.2502
-1.0542,-0.3304,-0.011
-1.1569,-0.5212,-0.1528
-1.2507,-0.8083,-0.1186
-1.3673,-1.1203,-0.0356
-1.5628,-1.3546,0.0324
-1.795,-1.4944,0.0528
-2.0217,-1.5161,-0.0172
-2.2438,-1.453,-0.1365
-2.3823,-1.3603,-0.2959
-2.4443,-1.214,-0.4714
-2.4203,-1.05,-0.6278
-2.2627,-0.8752,-0.7391
-2.0376,-0.7569,-0.7811
-1.7055,-0.7624,-0.7909
-1.4095,-0.7869,-0.7168
-1.0947,-0.8499,-0.6512
-0.8132,-0.9608,-0.6635
-0.5933,-1.1125,-0.7588
-0.4632,-1.2712,-0.8852
-0.4182,-1.4156,-1.0518
-0.4779,-1.4955,-1.2006
-0.5662,-1.4775,-1.3667
-0.6519,-1.4167,-1.5192
-0.7245,-1.2985,-1.7213
-0.834,-1.0913,-1.9074
-0.9392,-0.8596,-2.0261
-1.0204,-0.5811,-2.0795
-1.027,-0.2747,-2.0063
-0.9347,0.0351,-1.7908
-0.7627,0.3216,-1.4931
-0.6475,0.6247,-1.2241
-0.4783,0.9343,-0.9596
-0.3135,1.2661,-0.7812
-0.225,1.5788,-0.6925
-0.3054,1.8457,-0.664
-0.4908,2.0186,-0.7253
-0.7688,2.0591,-0.9186
-1.029,2.0442,-1.2971
-1.1867,1.9748,-1.7717
-1.2569,1.9932,-2.2575
-1.2151,2.1082,-2.7049
-1.0193,2.379,-3.0296
-0.734,2.7329,-3.1827
-0.4406,3.0052,-3.041
-0.3852,3.0927,-2.4401
-0.6034,3.1528,-1.3074
-1.0609,3.1624,0.1953
-1.505,2.8552,1.8429
-1.8114,2.089,3.3619
-1.8995,0.9954,4.5298
-1.7724,-0.1921,5.2237
-1.4668,-1.1501,5.2618
-1.0146,-1.824,4.6273
-0.5208,-2.2084,3.4716
0.0546,-2.3524,1.972
0.686,-2.2892,0.5397
1.2082,-2.0865,-0.5192
1.4921,-1.7799,-1.0088
1.4518,-1.4035,-0.9877
1.1183,-0.9444,-0.6595
0.6207,-0.5022,-0.268
0.04,-0.138,0.1744
-0.4539,0.0249,0.6381
-0.8124,-0.0046,1.0492
-1.3471,-0.0404,1.3548
-1.882,-0.1209,1.6621
-2.1717,-0.2509,1.8451
-2.0781,-0.4132,1.7858
-1.5578,-0.581,1.5639
-0.7901,-0.7581,1.1733
0.0196,-0.8455,0.7304
0.7496,-0.8569,0.3638
1.2779,-0.8089,0.0457
1.6431,-0.778,-0.1978
1.8065,-0.8247,-0.2942
1.7888,-0.9898,-0.2744
1.766,-1.1682,-0.1787
1.6643,-1.3411,-0.0492
1.4751,-1.4514,0.1036
1.2423,-1.4731,0.251
1.139,-1.4045,0.3663
1.0682,-1.3127,0.3958
1.029,-1.1835,0.3256
1.043,-1.0936,0.1771
1.0676,-1.0379,-0.0458
0.9999,-1.0257,-0.2961
0.8895,-1.0472,-0.5318
0.7825,-1.1235,-0.8161
0.6525,-1.2282,-1.0733
0.5244,-1.3181,-1.2486
0.3766,-1.3906,-1.371
0.2017,-1.4413,-1.435
0.083,-1.4536,-1.4778
