ax (m/s^2),ay (m/s^2),az (m/s^2)
-1.7599,-1.3211,-1.2674
-1.7773,-1.4567,-1.1727
-1.7467,-1.5381,-1.0706
-1.6842,-1.4798,-0.8948
-1.6595,-1.3062,-0.7629
-1.5261,-1.0874,-0.6878
-1.3601,-0.9073,-0.6951
-1.1244,-0.8235,-0.7581
-0.8778,-0.8263,-0.8439
-0.6873,-0.9082,-0.9316
-0.5934,-1.0236,-1.0385
-0.5848,-1.132,-1.1327
-0.5636,-1.26,-1.2377
-0.516,-1.2329,-1.3602
-0.4901,-1.1368,-1.5364
-0.4498,-1.0172,-1.6996
-0.4738,-0.8855,-1.8436
-0.4947,-0.708,-1.8855
-0.572,-0.4438,-1.8837
-0.6811,-0.183,-1.8737
-0.7882,0.0911,-1.7481
-0.8359,0.3759,-1.5272
-0.8241,0.6303,-1.3033
-0.7822,0.7989,-1.1283
-0.7381,0.8861,-0.9745
-0.7538,0.9793,-0.7528
-0.8958,1.1392,-0.4279
-1.0756,1.3908,-0.2203
-1.3394,1.7138,-0.2803
-1.4989,2.0294,-0.6012
-1.5053,2.226,-1.0916
-1.3512,2.3436,-1.739
-1.0965,2.4187,-2.4739
-0.6972,2.5087,-3.1045
-0.1026,2.6987,-3.4951
0.478,3.0132,-3.2522
0.6351,3.2223,-2.2902
0.1264,2.94,-0.8543
-0.995,2.2241,0.7784
-2.2249,1.3711,2.3665
-3.0613,0.6424,3.8204
-3.2886,0.0285,4.8625
-2.9202,-0.6517,5.3498
-2.018,-1.268,5.3411
-0.7493,-1.6286,4.8732
0.5294,-1.687,3.9121
1.6062,-1.6075,2.6288
2.4612,-1.5232,1.2995
2.9067,-1.5178,0.1298
2.856,-1.3744,-0.7642
2.2658,-1.0348,-1.3182
1.2892,-0.602,-1.5257
0.1127,-0.1467,-1.4434
-0.9807,0.1789,-1.0684
-1.8659,0.3487,-0.4371
-2.4079,0.3817,0.4008
-2.568,0.3043,1.2831
-2.3382,0.1361,2.1097
-1.7613,-0.0424,2.6732
-0.8159,-0.3148,2.8201
0.1666,-0.6127,2.5135
0.9829,-0.9462,1.8487
1.4929,-1.215,1.0247
1.7208,-1.4316,0.1692
1.7675,-1.6158,-0.618
1.7207,-1.7933,-1.2252
1.6617,-1.9924,-1.5461
1.5615,-2.1441,-1.6037
1.4211,-2.1581,-1.3956
1.2393,-2.0498,-1.0167
1.1234,-1.837,-0.659
1.0553,-1.5713,-0.1435
1.1007,-1.2562,0.2192
1.1342,-0.9329,0.4623
1.1784,-0.6784,0.57
1.1995,-0.5286,0.5661
1.1663,-0.4621,0.4215
1.1039,-0.5553,0.1865
0.9816,-0.729,-0.092
0.8458,-0.9423,-0.3742
0.7402,-1.128,-0.6174
0.653,-1.2285,-0.875
0.5938,-1.2097,-1.1695
0.5858,-1.0907,-1.4563
0.5897,-0.8875,-1.7512
0.5757,-0.6332,-1.996
0.519,-0.3632,-2.1557
0.4979,-0.1446,-2.202
0.5337,0.0009,-2.0976
0.6191,0.0756,-1.8959
0.6873,0.1567,-1.6672
0.7044,0.2781,-1.4271
0.6803,0.4588,-1.0601
0.7012,0.6096,-0.5742
0.8097,0.7657,-0.1037
0.9971,0.9457,0.1901
1.243,1.1389,0.2839
1.5032,1.272,0.2392
1.7582,1.3145,0.0869
1.8606,1.381,-0.1915
1.6899,1.4524,-0.6753
1.3248,1.5642,-1.2716
0.9481,1.6832,-1.8081
0.3427,1.7701,-2.4599
-0.6969,2.2135,-2.9178
-1.6462,3.0905,-2.7275
-1.7636,3.6291,-1.7864
-0.8643,3.3035,-0.4795
0.6683,2.2866,0.7775
2.0819,1.079,1.9465
2.8548,0.196,3.0818
2.9686,-0.3022,4.0975
2.5929,-0.5668,4.7907
1.6666,-0.7705,4.8263
0.3708,-0.8474,4.3006
-0.9204,-0.9052,3.4841
-1.9416,-1.0107,2.5509
-2.5298,-1.1441,1.645
-2.6715,-1.2948,0.7526
-2.4683,-1.3782,-0.1376
-2.0705,-1.2893,-0.8165
-1.4295,-1.0423,-1.1659
-0.6681,-0.6571,-1.1022
0.1721,-0.3128,-0.8193
0.9462,-0.0738,-0.3976
1.4905,0.0772,0.1032
1.702,0.1023,0.6928
1.616,-0.0358,1.2748
