ax (m/s^2),ay (m/s^2),az (m/s^2)
-1.3626,0.1099,0.5985
-1.3457,-0.2048,0.1602
-1.3116,-0.5069,-0.2567
-1.1801,-0.7571,-0.6229
-1.014,-0.9545,-0.9926
-0.8652,-1.1079,-1.3411
-0.8372,-1.2098,-1.5756
-0.7722,-1.2696,-1.6988
-0.7143,-1.2637,-1.6934
-0.5413,-1.1849,-1.6312
-0.3523,-1.079,-1.5287
-0.1051,-0.9033,-1.3704
0.0099,-0.6421,-1.1379
-0.0192,-0.3755,-0.8526
-0.1071,-0.1338,-0.5314
-0.2094,0.0106,-0.216
-0.3957,0.0692,0.0251
-0.6872,0.0318,0.1179
-0.8101,-0.1589,0.1415
-0.9293,-0.4215,0.0903
-1.0042,-0.7076,-0.1445
-0.9576,-0.9806,-0.3986
-0.8818,-1.2349,-0.6998
-0.7951,-1.4961,-0.9852
-0.6302,-1.7007,-1.2326
-0.5259,-1.788,-1.4679
-0.4079,-1.7956,-1.6324
-0.2588,-1.7639,-1.8107
-0.2315,-1.7501,-1.9167
-0.2603,-1.745,-1.9307
-0.336,-1.7274,-1.7516
-0.4472,-1.705,-1.5457
-0.6189,-1.6454,-1.3283
-0.8435,-1.5235,-1.1118
-0.9864,-1.2881,-0.8847
-1.0315,-1.0527,-0.729
-0.9956,-0.8041,-0.6333
-0.8876,-0.5738,-0.6087
-0.7637,-0.4097,-0.6429
-0.6387,-0.3113,-0.7411
-0.5821,-0.1987,-0.9235
-0.5798,-0.1357,-1.069
-0.6735,-0.0377,-1.2197
-0.7643,0.154,-1.4037
-0.8738,0.4859,-1.5797
-1.0051,0.9441,-1.6773
-1.0232,1.5005,-1.6614
-0.9325,2.1117,-1.4939
-0.7369,2.5867,-1.1832
-0.5275,2.7239,-0.8348
-0.2854,2.5512,-0.3171
-0.0052,2.4358,0.3001
0.1356,2.8622,0.8239
-0.0594,3.7083,1.0838
-0.5506,4.2919,1.1765
-1.1818,4.192,1.3483
-1.6272,3.586,1.7858
-1.8302,2.7545,2.3574
-1.9624,1.909,2.8641
-1.9881,1.0989,3.1181
-1.9103,0.2338,2.9964
-1.787,-0.4716,2.5309
-1.5593,-0.867,1.8742
-1.1764,-1.005,1.1069
-0.7476,-1.0078,0.3884
-0.3041,-0.8927,-0.1236
0.0645,-0.6682,-0.3995
0.3256,-0.4077,-0.5606
0.3955,-0.233,-0.5405
0.3006,-0.1637,-0.4246
0.2127,-0.2133,-0.1434
0.2441,-0.3957,0.2467
0.2721,-0.5508,0.6946
0.1658,-0.5662,1.008
-0.0001,-0.4223,1.1588
-0.1746,-0.1914,1.1551
-0.323,-0.0045,1.0341
-0.3596,0.0928,0.8212
-0.2791,0.1263,0.6021
0.0405,0.0859,0.3908
0.3216,0.0202,0.2891
0.5838,-0.0538,0.1548
0.8215,-0.1673,0.0718
0.9459,-0.2004,-0.037
0.9656,-0.273,-0.1309
0.9292,-0.3511,-0.1576
0.8617,-0.4417,-0.1629
0.7167,-0.5182,-0.1664
0.4774,-0.6047,-0.1868
0.2298,-0.7208,-0.1231
-0.0289,-0.8429,-0.0317
-0.2535,-0.9835,0.0642
-0.3956,-1.1554,0.116
-0.4714,-1.3336,0.1592
-0.4952,-1.5021,0.1666
-0.411,-1.6279,0.0765
-0.234,-1.7753,-0.124
0.0303,-1.9984,-0.4058
0.2103,-2.2215,-0.7476
0.3137,-2.4504,-1.0855
0.49,-2.7413,-1.4438
0.5625,-2.9517,-1.7983
0.4995,-3.0787,-1.9947
0.3675,-3.0601,-2.0902
0.1965,-2.9348,-2.0212
0.0808,-2.7182,-1.8186
0.0481,-2.4238,-1.518
0.0143,-2.0484,-1.1617
0.1375,-1.6682,-0.8111
0.3009,-1.316,-0.5045
0.4738,-1.031,-0.3239
0.5626,-0.7228,-0.2568
0.589,-0.3934,-0.3634
0.5728,-0.0709,-0.5637
0.6132,0.2096,-0.7733
0.6969,0.3319,-0.9534
0.7947,0.2613,-1.0964
0.8422,0.102,-1.211
0.838,0.0158,-1.2992
0.8562,0.0421,-1.4179
0.7637,0.2321,-1.5695
0.5859,0.6131,-1.672
0.3569,1.0898,-1.619
0.1782,1.4363,-1.3385
0.1769,1.547,-0.8262
0.1136,1.7719,-0.2926
0.0131,2.3724,0.3222
0.057,3.3497,0.8452
0.1239,4.4878,1.3294
0.2398,5.3352,1.8506
0.2874,5.5615,2.3339
0.4148,4.9377,2.8408
0.6681,3.7236,3.4028
0.8672,2.4776,3.8774
1.0223,1.4722,4.01
1.0642,0.6885,3.6424
0.8908,0.0523,2.9486
0.6516,-0.552,2.0088
0.4046,-1.0928,0.9997
0.2001,-1.5538,0.1656
0.0626,-1.8878,-0.5238
0.09,-2.0349,-1.0564
0.166,-1.9677,-1.31
0.2316,-1.7204,-1.2812
0.2209,-1.3502,-1.0118
0.0616,-0.9532,-0.6004
-0.1085,-0.5973,-0.0629
-0.2466,-0.2808,0.5915
-0.3382,0.0079,1.1566
-0.4648,0.245,1.6289
-0.5089,0.438,1.9538
-0.5426,0.5597,2.1378
-0.6461,0.6625,2.1407
-0.7539,0.7115,1.9997
-0.7373,0.6363,1.7224
-0.7164,0.4345,1.322
-0.7897,0.1709,0.8906
-0.8571,-0.0976,0.4202
-0.8416,-0.3142,-0.0825
-0.769,-0.5589,-0.5581
-0.6909,-0.8232,-1.0664
-0.5732,-1.0894,-1.4755
-0.5279,-1.3761,-1.705
-0.488,-1.5613,-1.8222
-0.4149,-1.6551,-1.7445
-0.3705,-1.6517,-1.5128
-0.4075,-1.5236,-1.1508
-0.5001,-1.3702,-0.7665
-0.6616,-1.1419,-0.3776
-0.8472,-0.9784,-0.0857
-1.0188,-0.8925,0.1631
-1.2101,-0.8298,0.3387
-1.3574,-0.8124,0.3959
-1.393,-0.8812,0.3177
-1.3336,-1.0215,0.1082
-1.2048,-1.2234,-0.1327
-0.9539,-1.4863,-0.3796
