ax (m/s^2),ay (m/s^2),az (m/s^2)
1.8875,0.0383,-1.3631
2.0333,0.5832,-1.2122
2.0096,0.9627,-0.715
1.7415,1.1009,-0.1572
1.2217,1.0542,0.2816
0.7037,0.8135,0.5185
0.2811,0.5174,0.5861
0.0653,0.3275,0.6299
0.2015,0.4481,0.5576
0.691,0.8533,0.2709
1.17,1.4078,-0.1501
1.3003,1.8468,-0.4555
1.0921,2.0176,-0.4836
0.9044,1.81,-0.2884
0.8743,1.3523,0.0062
0.9315,0.8029,0.198
0.8867,0.2925,0.267
0.7384,-0.1106,0.2124
0.5909,-0.4565,0.0633
0.4745,-0.7067,-0.1208
0.3851,-0.8632,-0.3062
0.3416,-0.9592,-0.4491
0.3098,-1.0448,-0.5497
0.2955,-1.0841,-0.6024
0.3215,-1.0724,-0.5691
0.4685,-1.0638,-0.4875
0.608,-1.0492,-0.4448
0.7189,-1.0181,-0.4146
0.8216,-0.9829,-0.4392
0.9255,-1.0203,-0.4278
0.951,-1.0613,-0.4091
0.8555,-1.1274,-0.3471
0.6431,-1.1734,-0.2815
0.3533,-1.2902,-0.2259
0.0953,-1.4349,-0.1905
-0.1948,-1.5431,-0.2144
-0.5044,-1.646,-0.3036
-0.737,-1.6618,-0.4922
-0.8098,-1.6569,-0.8139
-0.6313,-1.6256,-1.2176
-0.358,-1.627,-1.6343
-0.0411,-1.6412,-1.9408
0.3108,-1.6151,-2.111
0.699,-1.5657,-2.1091
1.0881,-1.4907,-1.9389
1.3919,-1.4455,-1.6199
1.5402,-1.4452,-1.2014
1.5005,-1.4881,-0.7722
1.3335,-1.513,-0.3822
1.0778,-1.444,-0.1953
0.8031,-1.2908,-0.2755
0.6496,-1.1603,-0.5226
0.6033,-1.1019,-0.8121
0.6102,-1.1099,-1.0481
0.6635,-1.1786,-1.1939
0.7204,-1.2529,-1.1276
0.7697,-1.3216,-0.9376
0.8264,-1.376,-0.7007
0.8718,-1.4127,-0.45
0.9274,-1.4296,-0.2741
1.0219,-1.4218,-0.3176
1.0532,-1.3094,-0.515
1.0678,-0.9262,-0.7731
1.006,-0.2401,-0.9366
0.7726,0.6563,-0.9322
0.6047,1.6717,-0.6302
